timestamp,window_type,value
2025-04-27T21:21:40.046871,Tumbling Window,194.0
2025-04-27T21:21:40.064580,Sliding Window,194.0
2025-04-27T21:21:41.138073,Tumbling Window,263.0
2025-04-27T21:21:41.178735,Sliding Window,263.0
2025-04-27T21:21:51.372618,Tumbling Window,332.0
2025-04-27T21:21:51.451172,Sliding Window,332.0
2025-04-27T21:22:00.739494,Tumbling Window,363.0
2025-04-27T21:22:00.930993,Sliding Window,363.0
2025-04-27T21:22:10.706062,Tumbling Window,384.0
2025-04-27T21:22:10.831453,Sliding Window,384.0
2025-04-27T21:22:21.166107,Sliding Window,419.0
2025-04-27T21:22:21.264456,Tumbling Window,419.0
2025-04-27T21:22:30.939193,Sliding Window,452.0
2025-04-27T21:22:31.082197,Tumbling Window,452.0
2025-04-27T21:22:41.284828,Tumbling Window,450.0
2025-04-27T21:22:41.549531,Sliding Window,450.0
2025-04-27T21:22:50.990497,Tumbling Window,493.0
2025-04-27T21:22:51.018978,Sliding Window,493.0
2025-04-27T21:23:02.093678,Tumbling Window,506.0
2025-04-27T21:23:02.423576,Sliding Window,506.0
2025-04-27T21:23:11.151486,Sliding Window,528.0
2025-04-27T21:23:11.228425,Tumbling Window,528.0
2025-04-27T21:23:21.174599,Sliding Window,555.0
2025-04-27T21:23:21.400614,Tumbling Window,555.0
2025-04-27T21:23:33.381426,Sliding Window,577.0
2025-04-27T21:23:33.461256,Tumbling Window,577.0
2025-04-27T21:23:41.267916,Tumbling Window,601.0
2025-04-27T21:23:41.297738,Sliding Window,628.0
2025-04-27T21:23:51.241528,Tumbling Window,628.0
2025-04-27T21:23:51.336973,Sliding Window,628.0
2025-04-27T21:24:01.282969,Tumbling Window,590.0
2025-04-27T21:24:01.328015,Sliding Window,590.0
2025-04-27T21:24:11.289063,Sliding Window,606.0
2025-04-27T21:24:11.308634,Tumbling Window,606.0
2025-04-27T21:24:20.981640,Tumbling Window,611.0
2025-04-27T21:24:21.183347,Sliding Window,611.0
2025-04-27T21:24:30.707080,Tumbling Window,625.0
2025-04-27T21:24:30.938993,Sliding Window,634.0
2025-04-27T21:24:41.562730,Tumbling Window,650.0
2025-04-27T21:24:41.644492,Sliding Window,650.0
2025-04-27T21:24:50.923429,Sliding Window,667.0
2025-04-27T21:24:50.986437,Tumbling Window,669.0
2025-04-27T21:25:01.019041,Tumbling Window,688.0
2025-04-27T21:25:01.054768,Sliding Window,688.0
2025-04-27T21:25:10.811109,Sliding Window,709.0
2025-04-27T21:25:10.851343,Tumbling Window,709.0
2025-04-27T21:25:20.998573,Sliding Window,707.0
2025-04-27T21:25:21.250694,Tumbling Window,707.0
2025-04-27T21:25:31.082693,Sliding Window,734.0
2025-04-27T21:25:31.117552,Tumbling Window,734.0
2025-04-27T21:25:41.556311,Tumbling Window,740.0
2025-04-27T21:25:41.596924,Sliding Window,740.0
2025-04-27T21:25:50.804331,Tumbling Window,772.0
2025-04-27T21:25:50.833500,Sliding Window,772.0
2025-04-27T21:26:01.283389,Tumbling Window,757.0
2025-04-27T21:26:01.298555,Sliding Window,757.0
2025-04-27T21:26:10.908333,Tumbling Window,782.0
2025-04-27T21:26:11.115569,Sliding Window,782.0
2025-04-27T21:26:21.211029,Tumbling Window,590.0
2025-04-27T21:26:21.257611,Sliding Window,590.0
2025-04-27T21:26:30.977126,Tumbling Window,614.0
2025-04-27T21:26:31.007298,Sliding Window,614.0
