timestamp,window_type,value
2025-04-27T21:21:40.046871,Tumbling Window,7.462585210800171
2025-04-27T21:21:40.064580,Sliding Window,7.47894024848938
2025-04-27T21:21:41.138073,Tumbling Window,8.555803298950195
2025-04-27T21:21:41.178735,Sliding Window,8.597084283828735
2025-04-27T21:21:51.372618,Tumbling Window,18.779754161834717
2025-04-27T21:21:51.451172,Sliding Window,18.86931300163269
2025-04-27T21:22:00.739494,Tumbling Window,28.157598972320557
2025-04-27T21:22:00.930993,Sliding Window,28.349286317825317
2025-04-27T21:22:10.706062,Tumbling Window,38.123722076416016
2025-04-27T21:22:10.831453,Sliding Window,38.24509310722351
2025-04-27T21:22:21.166107,Sliding Window,48.58146119117737
2025-04-27T21:22:21.264456,Tumbling Window,48.68310308456421
2025-04-27T21:22:30.939193,Sliding Window,58.34657907485962
2025-04-27T21:22:31.082197,Tumbling Window,58.50128221511841
2025-04-27T21:22:41.284828,Tumbling Window,68.70110011100769
2025-04-27T21:22:41.549531,Sliding Window,68.96668124198914
2025-04-27T21:22:50.990497,Tumbling Window,78.4083411693573
2025-04-27T21:22:51.018978,Sliding Window,78.43493819236755
2025-04-27T21:23:02.093678,Tumbling Window,89.51027417182922
2025-04-27T21:23:02.423576,Sliding Window,89.8392813205719
2025-04-27T21:23:11.151486,Sliding Window,98.5651490688324
2025-04-27T21:23:11.228425,Tumbling Window,98.64475607872009
2025-04-27T21:23:21.174599,Sliding Window,108.5912561416626
2025-04-27T21:23:21.400614,Tumbling Window,108.81656908988953
2025-04-27T21:23:33.381426,Sliding Window,120.79240131378174
2025-04-27T21:23:33.461256,Tumbling Window,120.8783061504364
2025-04-27T21:23:41.267916,Tumbling Window,128.68468832969666
2025-04-27T21:23:41.297738,Sliding Window,128.70432901382446
2025-04-27T21:23:51.241528,Tumbling Window,138.6527361869812
2025-04-27T21:23:51.336973,Sliding Window,138.75382828712463
2025-04-27T21:24:01.282969,Tumbling Window,148.70020508766174
2025-04-27T21:24:01.328015,Sliding Window,148.7460081577301
2025-04-27T21:24:11.289063,Sliding Window,158.70459508895874
2025-04-27T21:24:11.308634,Tumbling Window,158.72610211372375
2025-04-27T21:24:20.981640,Tumbling Window,168.38988709449768
2025-04-27T21:24:21.183347,Sliding Window,168.5995180606842
2025-04-27T21:24:30.707080,Tumbling Window,178.12460708618164
2025-04-27T21:24:30.938993,Sliding Window,178.35748624801636
2025-04-27T21:24:41.562730,Tumbling Window,188.97904014587402
2025-04-27T21:24:41.644492,Sliding Window,189.06292414665222
2025-04-27T21:24:50.923429,Sliding Window,198.33624601364136
2025-04-27T21:24:50.986437,Tumbling Window,198.40281200408936
2025-04-27T21:25:01.019041,Tumbling Window,208.43678903579712
2025-04-27T21:25:01.054768,Sliding Window,208.4736111164093
2025-04-27T21:25:10.811109,Sliding Window,218.22890305519104
2025-04-27T21:25:10.851343,Tumbling Window,218.27053427696228
2025-04-27T21:25:20.998573,Sliding Window,228.41294527053833
2025-04-27T21:25:21.250694,Tumbling Window,228.6685061454773
2025-04-27T21:25:31.082693,Sliding Window,238.4998800754547
2025-04-27T21:25:31.117552,Tumbling Window,238.53560304641724
2025-04-27T21:25:41.556311,Tumbling Window,248.96530318260193
2025-04-27T21:25:41.596924,Sliding Window,249.01511812210083
2025-04-27T21:25:50.804331,Tumbling Window,258.22248816490173
2025-04-27T21:25:50.833500,Sliding Window,258.25252199172974
2025-04-27T21:26:01.283389,Tumbling Window,268.69951605796814
2025-04-27T21:26:01.298555,Sliding Window,268.71697425842285
2025-04-27T21:26:10.908333,Tumbling Window,278.3250241279602
2025-04-27T21:26:11.115569,Sliding Window,278.5333502292633
2025-04-27T21:26:21.211029,Tumbling Window,288.6284759044647
2025-04-27T21:26:21.257611,Sliding Window,288.6758210659027
2025-04-27T21:26:30.977126,Tumbling Window,298.39488792419434
2025-04-27T21:26:31.007298,Sliding Window,298.4259111881256
